Autor,Título
"Letelier, Elías",Los últimos serán los primeros
"Ratón, Maeve",Al alba
"Castellanos, Rosario",Consejo de Celestina
"Fuertes, Gloria",Octavilla
"Montobbio, Santiago",La industria del corazón
"Hernández, Miguel",Ausencia en todo veo
"Aridjis, Homero",Del hombre y su nombre
"Azuela Espinoza, Francisco",  AZTECAL VIII
"Gutiérrez Albelo, Emeterio",Elegía entre dos luces
"Borges, Jorge Luis",El cómplice
"Novo, Salvador",La renovada muerte de la noche
"Huidobro, Vicente",Noche
"Torres Bodet, Jaime",En abril desamor
"García Cabrera, Pedro",  LIQUEN 27
"Machado, Antonio",PROVERBIOS Y CANTARES - XLI
"García Cabrera, Pedro",Líquenes
"Jiménez, Juan Ramón",Zinc
"Rugeles, Manuel Felipe",Certeza
"Jiménez, Juan Ramón",El pasaje
Armonia,Mi amor
CIBERCHUS,Mis hijas
"Hahn, Óscar",Venid a la danza mortal
"Castañeda Aragón, Gregorio",El poema afro-vocal
"Fuertes, Gloria",No doy al César lo que es del César
"Fuertes, Gloria",Sr. Enemigo
"Gelman, Juan",Tiempos
"Torres Bodet, Jaime","Colmena de la tarde, diálogo en el vergel"
"Gorostiza, José",Elegía
"Fuertes, Gloria",Balance
"Jiménez Domínguez, Jesús",Las memorias decapitadas
donrevis,EN CUADERNA VIA (Reeditado)
"Alvarez Quintero, Serafín / Alvarez Quintero, Joaquín",Amores y amoríos. Comedia en cuatro actos
"Hernández, Miguel",Tengo celos de un muerto
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",Tu abanico es mariposa…
"Guillén, Jorge",Trébol
"Marzal, Carlos",Consolación de la literatura
Or Lan,"En un huerto amarillo, de maravillas"
"Fernández Moreno, Baldomero",Poco a poco se hace la luz en tu vestido
"Fernández Moreno, Baldomero",Galope
"Fuertes, Gloria",A veces mi diario
"Villacañas, Beatriz",El tiempo del padre
"Valdés, Emma-Margarita R.A.",Quiero estar contigo
"Guillén, Jorge",Perdido entre tanta gente
"Burgos Cuadrado, José Luis",Esperando
"Villaurrutia, Xavier",Nocturno solo
"Guillén, Jorge",Las ocho de la mañana
"Guillén, Jorge",Amiga pintura
"Fernández Moreno, Baldomero",tiranía
Dionisio Ridruejo,Canto secreto
Esteban Torre,Efectos del amor
"García Vargas, Antonio",Amalgamadas
"Domenchina, Juan José",Lluvia de estío
"García Vargas, Antonio",La madreselva
"López, Freddy",El perro lleva
"García Vargas, Antonio",Dulce muchacha
"García Vargas, Antonio",Un quieto beso
"García Vargas, Antonio",Canto del mirlo
"López, Freddy",Hay que aclararse
"López, Freddy",No soy cylpable
"Caseiro, María Eugenia",Sonsonete
"Castañeyra Medina, Manuel",Réquim a la muerte
"Henández, Miguel",¿Qué pasa?
"de Greiff, León","No te me vas que apenas te me llegas,"
"del Cabral, Manuel",Solo
"Jiménez, Juan Ramón","¡Oh, cómo me mirabas!"
"Altolaguirre, Manuel",Gracias a tí
"Espinoza Neyra, R. Arturo",Para que no insistas en esa forma de mirar el mundo
"Neruda, Pablo",El toro
"Géraldy, Paul",Post-scriptum
"Gil de Biedma, Jaime",De vita beata
"Morales, Rafael",En una tarde de desengaño y pena
"Jiménez, Juan Ramón",Luna sola
"de Greiff, León",XVII
"Guillén, Nicolás",Apunte
"Burgos Cuadrado, José Luis",Pasión
"Estoico, Luis",¡Miradme...!
"Delia, Arjona","Paz, libertad y amor"
"Pardo García, Germán",Bestias que aguardan
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",Negro se va pa Triana…
"de Asén, Miguel",Sueños de ilusión
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",El ideal del cariño
"Diego Cendoya, Gerardo",Las tres hermanas
"de León, Rafael",Pena y alegría del amor
"Ponc y Mora, Javier",Erótica al atardecer
"Bousoño, Carlos","Mira los aires, alma solitaria"
"García Cabrera, Pedro",Como en los duros filos de un alfanje
"Buesa, José Ángel",Poema del amor imposible
"Rodríguez, Ana",Yo quisiera ser tu sombra y acompañarte 
"Buesa, José Ángel",Poema del renunciamiento
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",Tengo unas calabasas
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",Quién tuviera la zuerte
"Amenofis, Rigel",En la naturaleza 
"Hernández, Miguel",Nanas de la Cebolla
"Machado, Manuel",La “toná” de la fragua
"Calderón, José Luis",Gritos huecos
"Gómez Pescador, Felipe Evaristo",Prisas
"García Cabrera, Pedro",Conócete a ti misma
"de Champourcín, Ernestina",¿Por qué huyen todas las islas? - II
"Moreno Villa, José",Nos trajeron las ondas – V
"Espinoza Neyra, Arturo R.",La nube
"del Rosario, Jorge",La mirada del ejecutado
"María Panero, Leopoldo",El poema es la ciencia del esclavo
"Guillén, Jorge",Infierno
"Llorente Benito, Luis",Siete versos sin título
"Álvarez Quintero, Serafín / Álvarez Quintero, Joaquín",Nos hasemos ilusiones…
"Domínguez Romero, Francisco",O Coreño
"Hahn, Óscar ",BUENAS NOCHES HERMOSA
"Hernández, Miguel",Tú eres fatal ante la muerte
"Conde, Carmen",CONFORMIDAD
"Alberti, Rafael",Zurbarán
"Diego Cendoya, Gerardo ",AMOR
"Calderón, José Luis",TU AZUL GEOGRAFÍA
"Alonso, Dámaso",Ciencia de amor
"Calderón, José Luis",COLGADO EN TU OLVIDO
"Machado, Manuel",PROSA
"Jiménez Mantecón, Juan Ramón ",VOCES DE MI COPLA y CANCIONCILLAS IDEALES
"Hernández, Miguel",CANCIONERO Y ROMANCERO DE AUSENCIAS
"Feijoo, Marcos",Renace
"García Vargas, Antonio ",Trémulo canto
"Fuertes, Gloria",Por la Mancha
"Guillén, Nicolás ",LÁPIDA
"Hernández, Miguel",Elegía
"Blanco Meaño, Andrés Eloy ",LAS GARZAS
