Stanza_text,ST_Correct,Title,Author,Year
Al padre de la nación,None,Unknown,Anonymous,Unknown
"Deletreos de armonía
que ensaya inexperta mano.",None,Deletreos de armonía,"Machado, Antonio",1939
"Cuando llegue la luna llena 
iré a Santiago de Cuba, 
iré a Santiago, 
en un coche de agua negra. 
Iré a Santiago. 
Cantarán los techos de palmera. 
Iré a Santiago. 
Cuando la palma quiere ser cigüefla, 
iré a Santiago. 
Y cuando quiere ser medusa el plátano, 
iré a Santiago. 
Iré a Santiago 
con la rubia cabeza de Fonseca. 
Iré a Santiago. 
Y con la rosa de Romeo y Julieta 
iré a Santiago. 
¡Oh Cuba! ¡Oh ritmo de semillas secas! 
Iré a Santiago. 
¡Oh cintura caliente y gota de madera! 
Iré a Santiago. 
¡Arpa de troncos vivos, caimán, flor de tabaco! 
Iré a Santiago. 
Siempre he dicho que yo iría a Santiago 
en un coche de agua negra. 
Iré a Santiago. 
Brisa y alcohol en las ruedas, 
iré a Santiago. 
Mi coral en la tiniebla, 
iré a Santiago. 
El mar ahogado en la arena, 
iré a Santiago, 
calor blanco, fruta muerta, 
iré a Santiago. 
¡Oh bovino frescor de calaveras! 
¡Oh Cuba! ¡Oh curva de suspiro y barro! 
Iré a Santiago.",None,Son de negros en Cuba,"García Lorca, Federico",1936
"Hoja solitaria y mustia,
que de tu árbol arrancada,
por el viento arrebatada
triste murmurando vas,
¿dó te diriges? —Lo ignoro,
de la encina que adornaba
este prado, y me apoyaba,
los restos mirando estás.
Bajo su sombra felice
las zagalas y pastores
cantaban, y sus amores
contenta escuchaba yo,
Nise; la joven más bella
que jamás ornó éste prado
tal vez pensando en su amado,
en el tronco se apoyó.
Mas contrastada la encina
por huracán inclemente
abatió su altiva frente
dejándose despojar.
Desde entonces cada día
raudo el viento me arrebata,
y aunque feroz me maltrata
ni aun oso quejarme dél.
Voy, de su impulso llevada,
del valle a la selva umbrosa,
do van las hojas de rosa
y las hojas de laurel.",None,Melancolía (de Arnault). Letrilla,"Heredia, José María",1839
"En el pabellón desierto
están las violas dormidas;
¡las violas están dormidas
en el pabellón desierto!
Y las violas doloridas
en el pabellón desierto,
donde canta el desacierto
sus victorias más cumplidas,
abren mis viejas heridas,
como campanas de muerto,
las viejas violas dormidas
en el pabellón desierto.",None,El juglar triste,"Quiroga, Horacio",1937
"Ayer soñé que veía
a Dios y que a Dios hablaba;
y soñé que Dios me oía...
Después soñé que soñaba.",cantar,PROVERBIOS Y CANTARES - XXI,"Machado, Antonio",1939
"En tus ojos un misterio;
en tus labios un enigma.
Y yo fijo en tus miradas
y extasiado en tus sonrisas.",cantar,    RIMAS - X,"Darío, Rubén",1916
"Algunos desesperados
sólo se curan con soga;
otros con siete palabras:
la fe se ha puesto de moda.",cantar,Proverbios y cantares LVII,"Machado, Antonio",1939
"¡Ojos que a la luz se abrieron
un día para, después,
ciegos tornar a la tierra,
hartos de mirar sin ver!",cantar,PROVERBIOS Y CANTARES - XII,"Machado, Antonio",1939
"La envidia de la virtud 
hizo a Caín criminal. 
¡Gloria a Caín! Hoy el vicio 
Es lo que se envidia más.",cantar,Proverbios y Cantares - X,"Machado, Antonio",1939
"¿Para qué llamar caminos
 a los surcos del azar?... 
Todo el que camina anda, 
como Jesús, sobre el mar.",cantar,Proverbios y Cantares -II,"Machado, Antonio",1939
"En preguntar lo que sabes 
el tiempo no has de perder.. 
Y a preguntas sin respuesta 
¿quién te podrá responder?",cantar,Proverbios y Cantares - VIII,"Machado, Antonio",1939
"Tengo a mis amigos
en mi soledad;
cuando estoy con ellos
¡qué lejos están!",cantar,PROVERBIOS Y CANTARES. LXXXVI,"Machado, Antonio",1939
"Atención, que ha salido
la luna clara
desterrando tinieblas,
dando esperanza.
La dice:
La alegría que diste.
La gala,
canta por la mañana.
De día,
Dios te salve, María",chamberga,Ave María Glosada,"de Olmeda, Federico",1909
"Alto fue, y en virtudes
que tuvo excelsas,
su excelencia me admira
como su alteza.
Su estado
se me pasa por alto;
esperen
de su alteza mercedes,
que el santo
si no pródigo, es largo.",chamberga,"Altofue, y en virtudes",Anonymous,Unknown
"Por Señor tuvo el Diablo;
Mas no sin causa,
Que señor le acredita
Lo mal que paga:
Mas dijo,
No es buen dueño el que sirvo,
Pues huye
De temor de las Cruces,
Criado
Es pues teme los palos",chamberga,A San Cristóbal,"Sánchez, Vicente",1680
"El pasar en sus hombros
Hombres a nado,
Le tomó muy de asiento,
y era de paso;
Y es fama,
Que con eso pasaba,
Son juros,
Y censales seguros,
Es llano
Pues sobre él se cargaron",chamberga,A San Cristóbal,"Sánchez, Vicente",1680
"Hoy de España un rey santo
celebra Roma,
la tonadilla nueva
todos la oigan.
Ya escucho
porque es tono de gusto.
Sirenas
cantan a la chamberga
y el tono
chambergado es en todo",chamberga,Mojiganga que se hizo en fiesta de Sevilla año de 1672,Anonymous,Unknown
